#,set,project,patch_relpath,subject,relevance_firstpass,port_decision,agent_status,agent_confidence_0_100,agent_comment
11,patches_treble_td,platform_frameworks_native,platform_frameworks_native/0004-Remove-Samsung-system-permission-on-sensors.patch,Remove Samsung system permission on sensors,OEM/absent-hw,REVIEW (PORT if any doubt),VERIFIED_HIGH,95,Clean am; hunks identical to A14. getRequiredPermission() returns the new empty mFakeRequiredPermission only when the vendor permission string equals com.samsung.permission.SSENSOR.
12,patches_treble_td,platform_frameworks_native,platform_frameworks_native/0005-Mark-accelerometer-input-as-sensor-exclusively-if-th.patch,Mark accelerometer input as sensor exclusively if there,CORE-likely-RELEVANT,PORT,VERIFIED_HIGH,95,Clean am; EventHub::openDeviceLocked now requires at least one ABS axis before classifying an INPUT_PROP_ACCELEROMETER device as InputDeviceClass::SENSOR - logic identical to A14.
13,patches_treble_td,platform_frameworks_native,platform_frameworks_native/0006-MIUI13-devices-hide-their-vibrator-HAL-behind-non-de.patch,MIUI13 devices hide their vibrator HAL behind,OEM/absent-hw,REVIEW (PORT if any doubt),VERIFIED_HIGH,94,"Rebase is correct: A16 dropped the HIDL vibrator path and rewrote connectHal around AServiceManager_isDeclared/waitForService; the candidate clones that exact idiom for instance vibratorfeature in the same relative position and keeps the log string. It independently matches AndyYan lineage-22-light patch 0001 (only namespace qualification differs, correctly)."
14,patches_treble_td,platform_frameworks_native,platform_frameworks_native/0007-powermanager-Add-support-Samsung-miscpower-HAL.patch,powermanager: Add support Samsung miscpower HAL,OEM/absent-hw,REVIEW (PORT if any doubt),VERIFIED_HIGH,91,"Faithful rebase: loader/controller/wrapper structure and diffstat match the A14 original, with only A16-mandated type changes (hal:: alias, createHintSession returning HalResult<shared_ptr<PowerHintSessionWrapper>>). Static verification: EmptyHalWrapper implements every A16 pure virtual (createHintSessionWithConfig, getSessionChannel, closeSessionChannel, getSupportInfo, sendCompositionData/Update) so HidlHalWrapperSeh is concrete; the file aliases (using namespace android::hardware::power, namespace Aidl) make V1_0::PowerHint/Feature and Aidl::Boost/Mode resolve; HalResult<void>::fromReturn(Return<R>&) exists in HalResult.h; vendor.samsung.hardware.miscpower@2.0 with oneway setInteractiveAsync(bool,int32_t) is present in the target vendor/interfaces and wired into both Android.bp files."
15,patches_treble_td,platform_frameworks_native,platform_frameworks_native/0008-FOD-support-for-Samsung-and-Asus.patch,FOD support for Samsung and Asus,OEM/absent-hw,REVIEW (PORT if any doubt),VERIFIED_HIGH,91,"Faithful 12-file rebase. Key adaptation verified: A16 moved BLAST consumer creation from the ctor into initialize(), so the FOD usage bit keys on the mName member - mName is assigned in the ctor (line 258) before initialize() runs (line 279) and find() is a substring search, so matching is unchanged. Gralloc2/3/4 BAD_VALUE removals, the OutputLayer Asus layer-class calls and the ComposerHal / AidlComposer(no-op) / HidlComposer(vendor800_1) / HWC2 setLayerClass plumbing match A14, with every override checked against its base declaration."
16,patches_treble_td,platform_frameworks_native,platform_frameworks_native/0009-Add-MTK-GED-KPI-support-to-fix-broken-Mediatek-gpufr.patch,Add MTK GED KPI support to fix broken Mediatek gpufreq,OEM/absent-hw,REVIEW (PORT if any doubt),FIXED_VERIFIED_HIGH,92,"The candidate applied cleanly but could not compile. Five defects found and fixed: (1) a literal backslash-n instead of a line continuation in the GED_BRIDGE_IO_GPU_TIMESTAMP macro, i.e. a stray backslash at four expansion sites; (2) a raw NUL byte written into libs/gui/Surface.cpp; (3) a raw newline inside a character literal; (4) IInterface::asBinder(listener) although A16 Surface::connect() takes sp<SurfaceListener>, which derives from RefBase and is not an IInterface; (5) no NO_BINDER guard although A16 also compiles Surface.cpp into libgui_bufferqueue_static with -DNO_BINDER, plus android-base/properties.h placed inside the binder-only include block while GetIntProperty is called unconditionally. The fix was validated with a g++ -fsyntax-only harness, a byte scan (zero control bytes remaining) and a full fresh cumulative apply; the independently derived fix matches the partial attempt-1 fix tree byte-for-byte."
17,patches_treble_td,platform_frameworks_native,platform_frameworks_native/0010-Fix-loading-unnamed-GLES.patch,Fix loading unnamed GLES,UNCERTAIN,PORT (fallback),VERIFIED_HIGH,95,Clean am; hunk identical to A14. The wildcard system-driver load in Loader::open() is no longer gated on failToLoadFromDriverSuffixProperty and ro.vendor.api_level below 34.
18,patches_treble_td,platform_frameworks_native,platform_frameworks_native/0011-Increase-SW_MAX-4.patch,Increase SW_MAX *= 4,UNCERTAIN,PORT (fallback),VERIFIED_HIGH,94,"Context-only rebase: the same three edits as A14 (getSwitchState bound SW_MAX*4, switch-detection loop to SW_MAX*4, swBitmask/swState BitArray<SW_CNT*4>) at shifted offsets with the A16 RawDeviceId signature."
19,patches_treble_td,platform_frameworks_native,platform_frameworks_native/0012-Disable-gpuservice-on-old-BPF-less-kernel.patch,Disable gpuservice on old BPF-less kernel,CORE-likely-RELEVANT,PORT,VERIFIED_HIGH,94,"Clean am; hunk identical to A14: GpuMem::initialize() parks in an endless sleep loop when the pinned gpu_mem_total BPF program cannot be retrieved. unistd.h is already included in the A16 file, so sleep() is declared."
20,patches_treble_td,platform_frameworks_native,platform_frameworks_native/0013-SurfaceFlinger-Disable-SF-HWC-backpressure.patch,SurfaceFlinger: Disable SF HWC backpressure,UNCERTAIN,PORT (fallback),VERIFIED_HIGH,94,"Correct A16 site and correct property. A16 moved the backpressure decision from SurfaceFlinger::commit() into FrameTarget::expectedSignaledPresentFence(); the candidate initializes wouldBackpressure from persist.sys.phh.enable_sf_hwc_backpressure (default true) there. Reading the function and all consumers confirms the loop only ever clears the flag and the value reaches mWouldBackpressureHwc, which SurfaceFlinger.cpp line 2904 tests - so property=false disables HWC backpressure exactly as A14 did, and the default is bit-identical to stock."
21,patches_treble_td,platform_frameworks_native,platform_frameworks_native/0014-Fix-touch-on-Meizu-21-Note.patch,Fix touch on Meizu 21 / Note,OEM/absent-hw,REVIEW (PORT if any doubt),VERIFIED_HIGH,93,"Faithful rebase with two correct A16 adaptations: getAbsoluteAxisValue() now returns std::optional, so the divisor is applied to value_or(0) (matching the surrounding upstream lines), and SingleTouchMotionAccumulator::process() now takes const RawEvent&, so rawEvent.value replaces rawEvent->value. Ratio members, the meizu21/Meizu21Note property test and all division sites are identical to A14; diffstat matches (28/6)."
22,patches_treble_td,platform_system_bpf,platform_system_bpf/0001-Support-no-bpf-usecase.patch,Support no-bpf usecase,CORE-likely-RELEVANT,PORT,FIXED_VERIFIED_HIGH,93,"Porter REBASED candidate is semantically correct; the verifier applied one style-level fix and re-exported. Provenance clean (snapshot sha256 adfec974... == PATCH_INDEX.sha256 line 264 == canonical lineage_patches_unified copy; baseline 6c5f4f8 confirmed). A16 genuinely deleted the A14 target file bpfloader/BpfLoader.cpp (bpfloader is now rust_binary loader/bpfloader.rs plus cc_library libbpf_android loader/Loader.cpp reached via rust_bindgen), and both panic! sites plus sleep(20)+exit(121) are present verbatim at the baseline, so DROPPED_OBSOLETE would have been wrong and a semantic re-implementation was required. Every abort path in the repo was enumerated (panic!/unwrap/expect/exit/abort/sleep): the three sites the porter mapped are the only A14 analogs; the remainder are pre-existing and unrelated (ANDROID_FILE__dev_kmsg unwrap, logger unwraps, exit(122) on a failed execve) or exact A14 parity (Loader.cpp:358 abort() on a malformed vendor .o, identical to A14 libbpf_android/Loader.cpp:672 and uncovered there too). Verifier fix: the porter Rust hunk produced a 102-column line violating the repo rustfmt config (system/bpf/rustfmt.toml -> build/soong/scripts/rustfmt.toml, max_width 100); measured with the tree toolchain rustfmt --check the baseline is rc=0, the porter file rc=1 with exactly that one diff, and the fixed file rc=0. The error! call is now wrapped exactly as rustfmt proposes, with no semantic change, and the commit was amended in place preserving author, date, subject and Change-Id I75a427a2a41aa4ab1104ad88a891bef0dc2d9c91."
23,patches_treble_td,platform_system_netd,platform_system_netd/0001-Huawei-Kirin-960-accept-broken-rpfilter-match.patch,Huawei Kirin 960:: accept broken rpfilter match,OEM/absent-hw,REVIEW (PORT if any doubt),VERIFIED_HIGH,96,"Source hash matches PATCH_INDEX.sha256 and the canonical L21 stack; the candidate is byte-identical to the source modulo format-patch index/From/version lines. Re-applied on a fresh detached worktree at baseline 796eaca5 (not the porter's worktree) and reproduced the porter's exact file hash. The patched A16 setForwardRules body is character-identical to the patched A14 body. Retention rather than skip is correct: despite the Kirin-960 title the guard is hardware-agnostic, and #24 patches adjacent lines of the same function."
24,patches_treble_td,platform_system_netd,platform_system_netd/0002-Don-t-fail-on-FTP-conntracking-failing.patch,Don't fail on FTP conntracking failing,UNCERTAIN,PORT (fallback),VERIFIED_HIGH,95,"Hash-verified provenance; candidate byte-identical to the source patch. Applied cleanly as position 2/4 on top of #23 on a fresh baseline worktree, so the adjacent-hunk ordering dependency was actually exercised rather than assumed. Post-apply code matches the patched A14 tree character for character, and every symbol it needs (Join at line 63, StringPrintf, ALOGE) exists in A16 with an unchanged iptablesRestoreFunction signature."
25,patches_treble_td,platform_system_netd,platform_system_netd/0003-Support-no-bpf-usecase.patch,Support no-bpf usecase,CORE-likely-RELEVANT,PORT,VERIFIED_HIGH,96,"Hash-verified provenance; the candidate differs from the source only by the re-anchored hunk header (-321 -> -326), the expected format-patch re-export after a clean apply. Applied cleanly as position 3/4 on a fresh baseline worktree. The A16 comment block and guarded statement are verbatim identical to A14, and the failure mode the patch protects against still exists in A16 (enableBandwidthControl returns the iptables-restore result)."
26,patches_treble_td,platform_system_netd,platform_system_netd/0004-Don-t-abort-in-case-of-cgroup-bpf-setup-fail-since-s.patch,"Don't abort in case of cgroup/bpf setup fail, since some",CORE-likely-RELEVANT,PORT,VERIFIED_HIGH,94,"Hash-verified provenance; the candidate differs from the source only by the re-anchored hunk header (-145 -> -142), caused by A16 dropping three gLog.info breadcrumbs earlier in main(). Applied cleanly as position 4/4 on a fresh baseline worktree and the post-apply text is identical to the patched A14 main(). Confidence is held just below the other rows only because effectiveness depends on companion manifest row 170 (owned by the Connectivity job); the patch itself is faithful and harmless either way."
27,patches_treble_td,platform_bionic,platform_bionic/0001-Disable-vndklite-handling.patch,Disable vndklite handling,CORE-likely-RELEVANT,PORT,VERIFIED_HIGH,97,"Provenance verified (source sha256 de5301610d... matches canonical L21 patch and PATCH_INDEX.sha256; candidate sha256 09eceefe74... identical local and remote). Deletion-only patch; on a fresh detached worktree at the recorded baseline it passes git apply --check with no fuzz and git am cleanly. Cumulative diff vs baseline is exactly the two intended deletions (linker/linker.cpp:101 constant and the ro.vndk.lite early-return at 3575-3578), nothing else. End state matches the already-patched A14 reference tree (commit f0c2364ec), where the same greps also return zero vndk_lite references. Not obsolete: the removed code was present at baseline. Relevant/harmless for the C10 (full VNDK 33, ro.vndk.lite never true): worst case a no-op, best case it prevents the linker falling back to a GSI-absent ld.config.vndk_lite.txt."
28,patches_treble_td,platform_bionic,platform_bionic/0002-Add-new-mechanism-to-fake-vendor-props-on-a-per-proc.patch,Add new mechanism to fake vendor props on a per-process,UNCERTAIN,PORT (fallback),VERIFIED_HIGH,95,"Provenance verified (source sha256 c6ac93c14c... matches canonical L21 patch and PATCH_INDEX.sha256; candidate sha256 1491124877... identical local and remote). Applies with zero fuzz as position 2 of the chain on a fresh baseline worktree. The patched region is textually identical to the already-patched A14 reference (helper-block diff returns BLOCKS_IDENTICAL, 80/80 lines; SystemProperties::Find body identical), so the port is faithful rather than merely applying. Not obsolete: baseline has no redirectToProp/read_self/debug.phh.props and no competing upstream mechanism. Cross-generation check shows AndyYan's A15 (22-light) copy of the same patch has a byte-identical diff body, confirming a verbatim forward-port is correct. Relevance is stronger than the manifest's first-pass UNCERTAIN: the installed A16 device/phh/treble rw-system.sh sets debug.phh.props.* (including unconditionally at line 1187) and defines exactly the ro.keymaster.* targets this patch redirects to, so the mechanism is actively required by the A16 TD layer already present in the target tree."
29,patches_treble_td,platform_packages_modules_DeviceLock,platform_packages_modules_DeviceLock/0001-Don-t-crash-when-we-get-no-DeviceLockManager.patch,Don't crash when we get no DeviceLockManager,UNCERTAIN,PORT (fallback),VERIFIED_HIGH,96,"Independently reproduced the porter's CLEAN_AM on a fresh detached worktree created at the recorded baseline f93460221d41b5b82dc3de2576e8a64c816d83af (the porter's port-1 worktree was not reused). Candidate artifact sha256 a23cb7ed88469109fd4849a1ea1070139ca18403184c2fdef4190518c36d1dea matches the porter result and is byte-identical to the canonical L21 patch (sha256 e0af448cd62423cc304ff657bb0c87e5a9e4d91027206e137fa596e03b075ef6, matching PATCH_INDEX.sha256) except for the 'From <commit-id>' header and the git version trailer, so no silent content edit was introduced. git apply --check OK, git am OK -> 7fb4e5be27be5ae77d9cf5f49d6378b41ac8cd6a, diffstat exactly 1 file / +4 -1, Subject/author/date and Change-Id Iaba659694e706c82a95ec2e99feb26e2bc6314e0 preserved. Patch is not obsolete: the A16 baseline still has the unguarded deviceLockManager.getService(). No fix required; porter artifact retained as canonical."
30,patches_treble_td,platform_frameworks_opt_telephony,platform_frameworks_opt_telephony/0001-SubscriptionController-Do-not-override-default-calli.patch,SubscriptionController: Do not override default calling,OEM/absent-hw,REVIEW (PORT if any doubt),VERIFIED_HIGH,97,"Candidate diff body is byte-identical to the A14 original (only @@ offsets moved: -85->-88, -3153->-3321). Landing site verified semantically, not just textually: the hunk sits inside SubscriptionManagerService.setDefaultVoiceSubId(int) between mDefaultVoiceSubId.set()/broadcastSubId(ACTION_DEFAULT_VOICE_SUBSCRIPTION_CHANGED) and updateDefaultSubId(), the same lifecycle position as A14. The 'com.android.phone'.equals(currentPackageName) discriminator is still valid at A16 (packages/services/Telephony AndroidManifest package=com.android.phone). Null-handle path degrades to pre-patch behaviour."
31,patches_treble_td,platform_frameworks_opt_telephony,platform_frameworks_opt_telephony/0002-Telephony-Don-not-call-onUssdRelease-for-Huawei-RIL.patch,Telephony: Don not call onUssdRelease for Huawei RIL,OEM/absent-hw,REVIEW (PORT if any doubt),VERIFIED_HIGH,96,"Diff body byte-identical to the A14 original (offset -3128->-2625). Verified it lands in the pending-USSD completion branch of GsmCdmaPhone (candidate :2625-2640), that the persist.sys.radio.huawei guard wraps only the isUssdRelease arm, and that GsmMmiCode still provides both onUssdRelease() and onUssdFinished(String,boolean) at A16. Property defaults false, so behaviour is unchanged unless explicitly set; nothing in our device tree sets it."
32,patches_treble_td,platform_frameworks_opt_telephony,platform_frameworks_opt_telephony/0003-Fix-baseband-being-too-long-to-fit-into-a-91-chars-p.patch,Fix baseband being too long to fit into a 91 chars,OEM/absent-hw,REVIEW (PORT if any doubt),VERIFIED_HIGH,96,"Diff body byte-identical to the A14 original (offset -3438->-2898). Verified landing in the EVENT_GET_BASEBAND_VERSION_DONE handler (candidate GsmCdmaPhone :2898-2906) with MAX_VERSION_LEN = SystemProperties.PROP_VALUE_MAX/2 - 2 feeding setBasebandVersionForPhone, preserving A14's tail-truncation direction. Reasoned the bound: PROP_VALUE_MAX is still 92 at A16, substring indices stay in range for all input lengths, no new exception path."
33,patches_treble_td,platform_frameworks_opt_telephony,platform_frameworks_opt_telephony/0004-Reintroduce-public-void-TelephonyMetrics.writeRilSen.patch,Reintroduce 'public void,OEM/absent-hw,REVIEW (PORT if any doubt),VERIFIED_HIGH,96,"DROPPED_OBSOLETE validated in its strongest form: the host class is gone, not merely redundant. TelephonyMetrics.java does not exist anywhere in the A16 tree (find + grep -rl both empty; metrics/ now holds only atom-based collectors); the deleting commit a1e87f8d20 'Removed the legacy clearcut metrics' was identified via git log --diff-filter=D and proven an ancestor of the baseline with git merge-base --is-ancestor; grep for writeRilSendSms across frameworks/opt/telephony and frameworks/base/telephony returns zero hits. The 4-arg shim therefore has no class to live in and no in-tree caller."
34,patches_treble_td,platform_frameworks_opt_telephony,platform_frameworks_opt_telephony/0005-Revert-Remove-deprecated-IRadio-1.4-APIs-and-referen.patch,"Revert ""Remove deprecated IRadio <1.4 APIs and",OEM/absent-hw,REVIEW (PORT if any doubt),VERIFIED_HIGH,93,"Ported by the same mechanism as the original (git revert of AOSP 67a3837ed4, confirmed an ancestor of the baseline) plus 8 manual resolutions, which I validated mechanically. A revert-inverse audit comparing the candidate commit against the reverted commit's own diff found exactly ONE candidate deletion the upstream commit did not add - the CellularDataService setDataProfile call gaining isRoaming, which the restored CommandsInterface signature requires - so the rest is a bit-exact inverse. Compile-safety audits: all 241 abstract CommandsInterface methods are implemented by RIL, ImsPhoneCommandInterface, SimulatedCommands (via BaseCommands) and SimulatedCommandsVerifier (the single reported gap getRadioState is a regex artefact, BaseCommands:178); no removed declaration retains a reference; restored OEM-hook and LCE chains are coherent end-to-end (CommandsInterface:1449/1463, RIL:2985/2990, Phone:2741/2762, Phone:388-390/678/4327, GsmCdmaPhone:2709, BaseCommands:798, ImsPhoneCommandInterface:584); javac -proc:none over all changed files reports zero syntax errors. Deliberate omissions (CDMA/NV/band, IS-683 OTASP, deleteAndCreatePhone, GsmCdmaPhoneTest hunks) are each traceable to later upstream deletions (9a044b9ef6, 7f6cae48ef) and would not compile if restored."
35,patches_treble_td,platform_frameworks_opt_telephony,platform_frameworks_opt_telephony/0006-Revert-Remove-deprecated-HAL-versions-for-IRadio.patch,"Revert ""Remove deprecated HAL versions for IRadio""",OEM/absent-hw,REVIEW (PORT if any doubt),FIXED_VERIFIED_HIGH,92,"Largest rebase in the job (RIL.java ~2.3k diff lines), ported by git revert of AOSP 50fc709cc1 (ancestor of baseline) + 32 manual resolutions. I resolved the porter's central open risk by measurement: version-gated canMakeRequest call sites in RIL.java drop from 86 (>=1.4) at baseline to 1 in the candidate, with 1.5/1.6/2.0/2.1 gates removed entirely, matching A14-final's design of branching on mHalVersion inside the proxies - so the restored HIDL 1.0-1.3 paths are genuinely REACHABLE and the patch achieves its purpose. Per-file HIDL-reference parity with A14-final is exact for RIL (40/40), RadioNetworkProxy (22/22), RadioDataProxy (13/13), RadioResponse (48/48) and CellularNetworkService (12/12); every remaining deficit maps to a deliberately dropped CDMA/NV/band item. I specifically hunted for new silent no-ops and found none: RIL.sendCdmaSms is byte-identical to the A16 baseline empty stub and acknowledgeLastIncomingCdmaSms is identical modulo one line-wrap. RILTest's name set is a strict subset of A14-final missing only the 8 CDMA/NV tests (tests are not in the ROM). Removed declarations RILUtils.convertHalLinkCapacityEstimate and RadioResponse.responseNotSupported have zero remaining references, and NetworkIndication.currentLinkCapacityEstimate is byte-identical to A14-final. javac -proc:none over all 38 changed files: zero syntax errors. VERIFIER FIX APPLIED: the revert-inverse audit isolated an unrelated A16 upstream diagnostic dropped as merge collateral - Rlog.d(TAG, 'RadioSimProxy setAllowedCarriers params = ' + carrierRestrictions) - which I restored inside the isAidl() branch, amended the commit and cleanly rebased the following 8 commits. The other RadioSimProxy delta (HalVersion halversion parameter replaced by the mHalVersion field) I analysed and cleared as behaviour-preserving: setAidl() assigns mHalVersion = RIL.getServiceHalVersion(sim.getInterfaceVersion()) identically at A16 and A14 and RIL stores that same value in its map, so mHalVersion is equivalent to getHalVersion(HAL_SERVICE_SIM); restoring the Message result parameter is required for the <1.4 REQUEST_NOT_SUPPORTED reply and the sole call site (RIL.java:4445) passes it."
36,patches_treble_td,platform_frameworks_opt_telephony,platform_frameworks_opt_telephony/0007-Fix-signalstrength-for-huawei-kirin-hi6250-hi3670.patch,"Fix signalstrength for huawei kirin (hi6250, hi3670)",OEM/absent-hw,REVIEW (PORT if any doubt),VERIFIED_HIGH,94,"Diff body byte-identical to the A14 original (offsets RIL -7003->-6846, RadioIndication -241->-228). Its dependency on #35 was verified concretely rather than assumed: the helper it adds (RIL.java:6804 fixupSignalStrength10) is consumed at RadioIndication.java:248, the HIDL 1.0 currentSignalStrength entry point that exists only because #35 restored it, and also at NetworkIndication.java:209 on the AIDL path - matching A14. Selection is by ro.hardware string, so on a non-Kirin SoC every branch falls through and the SignalStrength is returned unchanged."
37,patches_treble_td,platform_frameworks_opt_telephony,platform_frameworks_opt_telephony/0008-telephony-forward-port-support-for-forceCognitive.patch,telephony: forward-port support for forceCognitive,OEM/absent-hw,REVIEW (PORT if any doubt),VERIFIED_HIGH,94,"Candidate hunks are byte-identical to the A14 original including offsets. Verified it lands in the HIDL <1.4 arm of RadioDataProxy.setDataProfile (candidate :245-256), which exists only because #35 restored it, and which also consumes the isRoaming parameter restored by #34 - so this patch transitively pins both, and both precede it in the verified order. The property defaults to false, reducing the selection to the upstream dp.isPersistent() test, and the if (!dpis.isEmpty()) guard is preserved."
